Channel,FEC Mode,Modulation,Bits/Symbol,Code Rate,SNR (dB),Pre-FEC BER,Post-FEC BER,BER Reduction,Eff. Throughput,Score
AWGN,No FEC,BPSK,1,1.0,0,0.0789,0.0789,0.0,0.9211,11.6743
AWGN,No FEC,BPSK,1,1.0,2,0.0331,0.0331,0.0,0.9669,29.2115
AWGN,No FEC,BPSK,1,1.0,4,0.0126,0.0126,0.0,0.9874,78.3651
AWGN,No FEC,BPSK,1,1.0,6,0.0023,0.0023,0.0,0.9977,433.7824
AWGN,No FEC,BPSK,1,1.0,8,0.0001,0.0001,0.0,0.9999,9998.9
AWGN,No FEC,BPSK,1,1.0,10,0.0,0.0,0.0,1.0,1000000000.0
AWGN,No FEC,BPSK,1,1.0,12,0.0,0.0,0.0,1.0,1000000000.0
AWGN,No FEC,BPSK,1,1.0,14,0.0,0.0,0.0,1.0,1000000000.0
AWGN,No FEC,BPSK,1,1.0,16,0.0,0.0,0.0,1.0,1000000000.0
AWGN,No FEC,BPSK,1,1.0,18,0.0,0.0,0.0,1.0,1000000000.0
AWGN,No FEC,BPSK,1,1.0,20,0.0,0.0,0.0,1.0,1000000000.0
AWGN,No FEC,QPSK,2,1.0,0,0.1593,0.1593,0.0,1.6814,10.5549
AWGN,No FEC,QPSK,2,1.0,2,0.1093,0.1093,0.0,1.7814,16.2983
AWGN,No FEC,QPSK,2,1.0,4,0.0566,0.0566,0.0,1.8868,33.3357
AWGN,No FEC,QPSK,2,1.0,6,0.0222,0.0222,0.0,1.9556,88.0901
AWGN,No FEC,QPSK,2,1.0,8,0.0044,0.0044,0.0,1.9912,452.5454
AWGN,No FEC,QPSK,2,1.0,10,0.0004,0.0004,0.0,1.9992,4997.9875
AWGN,No FEC,QPSK,2,1.0,12,0.0001,0.0001,0.0,1.9998,19997.8
AWGN,No FEC,QPSK,2,1.0,14,0.0,0.0,0.0,2.0,2000000000.0
AWGN,No FEC,QPSK,2,1.0,16,0.0,0.0,0.0,2.0,2000000000.0
AWGN,No FEC,QPSK,2,1.0,18,0.0,0.0,0.0,2.0,2000000000.0
AWGN,No FEC,QPSK,2,1.0,20,0.0,0.0,0.0,2.0,2000000000.0
AWGN,No FEC,16-QAM,4,1.0,0,0.2833,0.2833,0.0,2.8668,10.1193
AWGN,No FEC,16-QAM,4,1.0,2,0.2353,0.2353,0.0,3.0588,12.9996
AWGN,No FEC,16-QAM,4,1.0,4,0.19,0.19,0.0,3.24,17.0526
AWGN,No FEC,16-QAM,4,1.0,6,0.1387,0.1387,0.0,3.4452,24.8392
AWGN,No FEC,16-QAM,4,1.0,8,0.1024,0.1024,0.0,3.5904,35.0625
AWGN,No FEC,16-QAM,4,1.0,10,0.0647,0.0647,0.0,3.7412,57.8238
AWGN,No FEC,16-QAM,4,1.0,12,0.0246,0.0246,0.0,3.9016,158.6016
AWGN,No FEC,16-QAM,4,1.0,14,0.0096,0.0096,0.0,3.9616,412.6666
AWGN,No FEC,16-QAM,4,1.0,16,0.0015,0.0015,0.0,3.994,2662.6649
AWGN,No FEC,16-QAM,4,1.0,18,0.0002,0.0002,0.0,3.9992,19995.9
