FEC Mode,Modulation,0 dB,4 dB,8 dB,12 dB,16 dB,20 dB
No FEC,BPSK,0.0789,0.0126,0.0001,0.0,0.0,0.0
No FEC,QPSK,0.1593,0.0566,0.0044,0.0001,0.0,0.0
No FEC,16-QAM,0.2833,0.19,0.1024,0.0246,0.0015,0.0
No FEC,64-QAM,0.3607,0.3236,0.2796,0.2236,0.1727,0.1613
"Hamming(7,4)",BPSK,0.1128,0.0181,0.0003,0.0,0.0,0.0
"Hamming(7,4)",QPSK,0.2004,0.0818,0.0096,0.0002,0.0,0.0
"Hamming(7,4)",16-QAM,0.3327,0.2325,0.1356,0.0398,0.0028,0.0
"Hamming(7,4)",64-QAM,0.4017,0.3564,0.3181,0.2603,0.212,0.1903
Conv R=1/2,BPSK,0.0297,0.0001,0.0,0.0,0.0,0.0
Conv R=1/2,QPSK,0.2059,0.0105,0.0,0.0,0.0,0.0
Conv R=1/2,16-QAM,0.4287,0.2943,0.0626,0.001,0.0,0.0
Conv R=1/2,64-QAM,0.4591,0.4297,0.3442,0.2482,0.1703,0.1213
