SNR (dB),AWGN / No FEC,"AWGN / Hamming(7,4)",AWGN / Conv R=1/2,Rayleigh / No FEC,"Rayleigh / Hamming(7,4)",Rayleigh / Conv R=1/2
0,BPSK,64-QAM,BPSK,64-QAM,64-QAM,64-QAM
2,BPSK,BPSK,BPSK,16-QAM,64-QAM,BPSK
4,BPSK,BPSK,BPSK,QPSK,16-QAM,BPSK
6,BPSK,BPSK,BPSK,QPSK,QPSK,BPSK
8,BPSK,BPSK,QPSK,QPSK,QPSK,BPSK
10,BPSK,BPSK,QPSK,QPSK,QPSK,BPSK
12,BPSK,BPSK,QPSK,QPSK,BPSK,BPSK
14,QPSK,QPSK,16-QAM,QPSK,QPSK,BPSK
16,QPSK,QPSK,16-QAM,BPSK,BPSK,BPSK
18,QPSK,QPSK,16-QAM,QPSK,BPSK,BPSK
20,16-QAM,16-QAM,16-QAM,QPSK,QPSK,QPSK
