Channel,FEC Mode,Modulation,Avg Pre-FEC BER,Avg Post-FEC BER,Avg BER Reduction,Avg Eff. Throughput
AWGN,No FEC,BPSK,0.01155,0.01155,0.0,0.9885
AWGN,No FEC,QPSK,0.03203,0.03203,0.0,1.9359
AWGN,No FEC,16-QAM,0.09548,0.09548,0.0,3.6181
AWGN,No FEC,64-QAM,0.25147,0.25147,0.0,4.4912
AWGN,"Hamming(7,4)",BPSK,0.01206,0.0171,-0.00504,0.5617
AWGN,"Hamming(7,4)",QPSK,0.03199,0.04314,-0.01115,1.0936
AWGN,"Hamming(7,4)",16-QAM,0.0963,0.12011,-0.02381,2.0112
AWGN,"Hamming(7,4)",64-QAM,0.25382,0.29161,-0.03778,2.4288
AWGN,Conv R=1/2,BPSK,0.01206,0.00287,0.00918,0.4986
AWGN,Conv R=1/2,QPSK,0.03195,0.02653,0.00542,0.9735
AWGN,Conv R=1/2,16-QAM,0.09587,0.12297,-0.0271,1.7541
AWGN,Conv R=1/2,64-QAM,0.25152,0.29362,-0.0421,2.1191
Rayleigh,No FEC,BPSK,0.04423,0.04423,0.0,0.9558
Rayleigh,No FEC,QPSK,0.07118,0.07118,0.0,1.8576
Rayleigh,No FEC,16-QAM,0.14072,0.14072,0.0,3.4371
Rayleigh,No FEC,64-QAM,0.27998,0.27998,0.0,4.3201
Rayleigh,"Hamming(7,4)",BPSK,0.04348,0.0596,-0.01612,0.5374
Rayleigh,"Hamming(7,4)",QPSK,0.07151,0.09368,-0.02218,1.0358
Rayleigh,"Hamming(7,4)",16-QAM,0.14113,0.1714,-0.03027,1.8939
Rayleigh,"Hamming(7,4)",64-QAM,0.27858,0.31735,-0.03876,2.3405
Rayleigh,Conv R=1/2,BPSK,0.04412,0.02792,0.0162,0.486
Rayleigh,Conv R=1/2,QPSK,0.07009,0.06055,0.00953,0.9394
Rayleigh,Conv R=1/2,16-QAM,0.14125,0.16881,-0.02756,1.6624
Rayleigh,Conv R=1/2,64-QAM,0.27966,0.32939,-0.04973,2.0118
