FEC Mode,Modulation,0 dB,4 dB,8 dB,12 dB,16 dB,20 dB
No FEC,BPSK,0.14,0.0773,0.036,0.0153,0.005,0.0022
No FEC,QPSK,0.2119,0.1266,0.0659,0.027,0.0113,0.0037
No FEC,16-QAM,0.3186,0.2446,0.1504,0.0891,0.0437,0.0189
No FEC,64-QAM,0.3848,0.3423,0.3065,0.2609,0.21,0.1747
"Hamming(7,4)",BPSK,0.1829,0.107,0.0514,0.0203,0.0081,0.0049
"Hamming(7,4)",QPSK,0.2603,0.1733,0.091,0.0408,0.0191,0.0096
"Hamming(7,4)",16-QAM,0.3505,0.2816,0.1999,0.1184,0.052,0.0248
"Hamming(7,4)",64-QAM,0.4019,0.3751,0.3423,0.3079,0.2499,0.2228
Conv R=1/2,BPSK,0.1811,0.0318,0.0049,0.0005,0.0,0.0
Conv R=1/2,QPSK,0.2871,0.1098,0.0197,0.0029,0.0009,0.0
Conv R=1/2,16-QAM,0.4437,0.3522,0.1872,0.0471,0.0112,0.0012
Conv R=1/2,64-QAM,0.4714,0.423,0.3663,0.2949,0.2238,0.1726
